Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.762934, 0.036673, 50, 100, 100, 0
Numerical Parameters: NX, NY, ts, delta = 501, 501, 0.8, 0.001 
File written: Tue Aug 20 23:36:45 2024
Comments: 2D 





Ascii values of u and v follow
0.0209288 0.0744107
0.0219239 0.0742778
0.022867 0.0741681
0.0237491 0.0740633
0.0245623 0.0739706
0.0252986 0.0738904
0.0259495 0.0738262
0.026508 0.0737724
0.0269667 0.073729
0.02732 0.0736969
0.0275632 0.0736774
0.0276932 0.0736771
0.0277088 0.0736756
0.0276098 0.0736729
0.0273968 0.0736893
0.0270729 0.0737183
0.0266421 0.0737584
0.02611 0.0738088
0.0254837 0.0738695
0.0247701 0.0739458
0.0239773 0.0740346
0.0231135 0.0741352
0.0221869 0.0742404
0.0212067 0.0743687
0.0201823 0.0745142
0.0191247 0.074675
0.0180439 0.0748447
0.0169484 0.0750411
0.0158484 0.0752566
0.0147499 0.0754823
0.0136626 0.0757394
0.012591 0.0760151
0.0115432 0.0763032
0.010526 0.0766229
0.00954418 0.0769574
0.00860148 0.0773269
0.00769618 0.0777196
0.0068429 0.078127
0.00603733 0.0785583
0.00526533 0.0790272
0.00454962 0.0795133
0.00393219 0.0800364
0.00331468 0.0805787
0.00265925 0.0811532
0.00224025 0.0817487
0.00181789 0.0823716
0.00139857 0.0830303
0.00115929 0.083711
0 0.0844173
0 0.0851647
0 0.0859368
0 0.086738
0 0.0875674
0 0.0884247
0 0.0893108
0 0.0902267
0 0.091173
0 0.0921482
0 0.0931571
0 0.0941986
0 0.0952735
0 0.0963829
0 0.097527
0 0.0987068
0 0.0999236
0 0.101178
0 0.102471
0 0.103807
0 0.105181
0 0.106598
0 0.108057
0 0.109561
0 0.11111
0 0.112709
0 0.114353
0 0.116047
0 0.117795
0 0.119592
0 0.121444
0 0.12335
0 0.125317
0 0.12734
0 0.129426
0 0.131573
0 0.133782
0 0.136062
0 0.138406
0 0.140824
0 0.143311
0 0.145877
0 0.148515
0 0.151238
0 0.154041
0 0.156927
0 0.159903
0 0.162965
0 0.166124
0 0.169379
0 0.172728
0 0.176184
0 0.179746
0 0.183416
0 0.187195
0 0.191094
0 0.195113
0 0.199256
0 0.203523
0 0.207927
0 0.212469
0 0.217152
0 0.221981
0 0.226962
0 0.232099
0 0.237398
0 0.242866
0 0.248506
0 0.254319
0 0.260323
0 0.26652
0 0.272915
0 0.279522
0 0.286337
0 0.293372
0 0.300634
0 0.308133
0 0.315877
0 0.323874
0 0.332133
0 0.340662
0 0.349484
0 0.358592
0 0.368001
0 0.377724
0 0.387772
0 0.398166
0 0.4089
