Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.84, 0.185, 18.1818, 50, 50, 0
Numerical Parameters: NX, NY, ts, delta = 501, 501, 0.8, 0.001 
File written: Tue Apr 16 22:23:16 2024
Comments: 2D 





Ascii values of u and v follow
0 6.11688e-09
0 6.27047e-09
0 6.42905e-09
0 6.59302e-09
0 6.76247e-09
0 6.93758e-09
0 7.11858e-09
0 7.30571e-09
0 7.49915e-09
0 7.69924e-09
0 7.9061e-09
0 8.12011e-09
0 8.34147e-09
0 8.57046e-09
0 8.80735e-09
0 9.05255e-09
0 9.30633e-09
0 9.56896e-09
0 9.84088e-09
0 1.01224e-08
0 1.04139e-08
0 1.07157e-08
0 1.10284e-08
0 1.13522e-08
0 1.16878e-08
0 1.20355e-08
0 1.23958e-08
0 1.27692e-08
0 1.31564e-08
0 1.35577e-08
0 1.39739e-08
0 1.44055e-08
0 1.48532e-08
0 1.53177e-08
0 1.57996e-08
0 1.62997e-08
0 1.68187e-08
0 1.73576e-08
0 1.7917e-08
0 1.8498e-08
0 1.91015e-08
0 1.97285e-08
0 2.038e-08
0 2.10571e-08
0 2.17609e-08
0 2.24928e-08
0 2.32538e-08
0 2.40455e-08
0 2.48693e-08
0 2.57266e-08
0 2.6619e-08
0 2.7548e-08
0 2.85156e-08
0 2.95235e-08
0 3.05734e-08
0 3.16674e-08
0 3.28076e-08
0 3.39959e-08
0 3.52342e-08
0 3.65247e-08
0 3.78695e-08
0 3.92703e-08
0 4.07294e-08
0 4.22482e-08
0 4.38283e-08
0 4.54709e-08
0 4.71763e-08
0 4.89453e-08
0 5.07768e-08
0 5.26694e-08
0 5.46212e-08
0 5.66291e-08
0 5.86891e-08
0 6.07965e-08
0 6.29463e-08
0 6.51313e-08
0 6.7346e-08
0 6.95821e-08
0 7.1832e-08
0 7.40854e-08
0 7.63325e-08
0 7.85603e-08
0 8.0755e-08
0 8.28989e-08
0 8.49717e-08
0 8.69483e-08
0 8.88013e-08
0 9.04986e-08
0 9.20081e-08
0 9.32961e-08
0 9.43324e-08
0 9.50929e-08
0 9.55567e-08
0 9.57128e-08
0 0.000106299
0 0.000105954
0 0.000104921
0 0.000103206
0 0.000100831
0 9.78432e-05
0 9.43144e-05
0 9.03389e-05
0 8.60188e-05
0 8.14489e-05
0 7.67088e-05
0 7.18609e-05
0 6.69561e-05
0 6.20457e-05
0 5.71912e-05
0 5.2469e-05
0 4.79688e-05
0 4.37825e-05
0 3.99886e-05
0 3.66354e-05
0 3.37287e-05
0 3.12314e-05
0 2.90765e-05
0 2.7188e-05
0 2.54997e-05
0 2.39629e-05
0 2.25458e-05
0 2.1228e-05
0 1.99963e-05
0 1.88417e-05
0 1.77572e-05
0 1.67376e-05
0 1.57784e-05
0 1.48757e-05
0 1.40258e-05
0 1.32256e-05
0 1.24721e-05
0 1.17625e-05
0 1.10943e-05
0 1.04648e-05
0 9.87197e-06
0 9.31345e-06
0 8.78737e-06
0 8.29168e-06
0 7.82469e-06
0 7.38464e-06
0 6.96997e-06
0 6.5792e-06
0 6.2109e-06
0 5.86376e-06
0 5.53658e-06
0 5.22812e-06
0 4.93736e-06
0 4.6632e-06
0 4.40472e-06
0 4.16097e-06
0 3.93111e-06
0 3.71434e-06
0 3.50988e-06
0 3.31702e-06
0 3.13508e-06
0 2.96344e-06
0 2.80151e-06
0 2.6487e-06
0 2.50451e-06
0 2.36844e-06
0 2.24e-06
0 2.11878e-06
0 2.00435e-06
0 1.89631e-06
0 1.79431e-06
0 1.698e-06
0 1.60705e-06
0 1.52116e-06
0 1.44003e-06
0 1.36341e-06
0 1.29102e-06
0 1.22263e-06
0 1.15801e-06
0 1.09694e-06
0 1.03924e-06
0 9.84698e-07
0 9.33148e-07
0 8.84414e-07
0 8.3834e-07
0 7.9478e-07
0 7.53588e-07
0 7.14631e-07
0 6.77783e-07
0 6.42931e-07
0 6.09958e-07
0 5.78763e-07
0 5.49246e-07
0 5.21312e-07
0 4.94874e-07
0 4.6985e-07
0 4.46163e-07
0 4.23735e-07
0 4.02501e-07
0 3.82392e-07
0 3.63347e-07
0 3.45307e-07
0 3.28218e-07
0 3.12027e-07
0 2.96686e-07
0 2.82147e-07
0 2.68367e-07
0 2.55307e-07
